91;Pascal Eenkhoorn;Lotto Dstny;86H 27' 37'';+ 04H 21' 55''
92;Fred Wright;Bahrain Victorious;86H 28' 33'';+ 04H 22' 51''
93;Nathan Van Hooydonck;Jumbo-Visma;86H 29' 46'';+ 04H 24' 04''
94;Anthony Turgis;Totalenergies;86H 30' 04'';+ 04H 24' 22''
95;Torstein Træen;Uno-X Pro Cycling Team;86H 32' 09'';+ 04H 26' 27''
96;Magnus Cort Nielsen;Ef Education - Easypost;86H 37' 57'';+ 04H 32' 15''
97;Jasper Philipsen;Alpecin-Deceuninck;86H 38' 28'';+ 04H 32' 46''
98;Bryan Coquard;Cofidis;86H 38' 57'';+ 04H 33' 15''
99;Anthon Charmig;Uno-X Pro Cycling Team;86H 40' 33'';+ 04H 34' 51''
100;Edvald Boasson-Hagen;Totalenergies;86H 43' 40'';+ 04H 37' 58''
101;Benoit Cosnefroy;Ag2R Citroen Team;86H 45' 04'';+ 04H 39' 22''
102;Vegard Stake Laengen;Uae Team Emirates;86H 46' 05'';+ 04H 40' 23''
103;Mike Teunissen;Intermarché - Circus - Wanty;86H 47' 17'';+ 04H 41' 35''
104;Yves Lampaert;Soudal Quick-Step;86H 48' 18'';+ 04H 42' 36''
105;Mads Pedersen;Lidl - Trek;86H 49' 32'';+ 04H 43' 50''
106;Rémi Cavagna;Soudal Quick-Step;86H 49' 43'';+ 04H 44' 01''
107;Matteo Trentin;Uae Team Emirates;86H 50' 16'';+ 04H 44' 34''
108;Rasmus Tiller;Uno-X Pro Cycling Team;86H 52' 20'';+ 04H 46' 38''
109;Simon Clarke;Israel - Premier Tech;86H 56' 15'';+ 04H 50' 33''
110;Andrey Amador;Ef Education - Easypost;86H 59' 49'';+ 04H 54' 07''
111;Dion Smith;Intermarché - Circus - Wanty;86H 59' 55'';+ 04H 54' 13''
112;Luka Mezgec;Team Jayco Alula;87H 02' 14'';+ 04H 56' 32''
113;Quinten Hermans;Alpecin-Deceuninck;87H 04' 24'';+ 04H 58' 42''
114;Jonas Rickaert;Alpecin-Deceuninck;87H 06' 05'';+ 05H 00' 23''
115;Alex Kirsch;Lidl - Trek;87H 06' 37'';+ 05H 00' 55''
116;Danny Van Poppel;Bora - Hansgrohe;87H 07' 16'';+ 05H 01' 34''
117;Juul Christopher Jensen;Team Jayco Alula;87H 10' 27'';+ 05H 04' 45''
118;Tim Declercq;Soudal Quick-Step;87H 11' 00'';+ 05H 05' 18''
119;Dries Devenyns;Soudal Quick-Step;87H 12' 19'';+ 05H 06' 37''
120;Florian Vermeersch;Lotto Dstny;87H 12' 20'';+ 05H 06' 38''
121;Nikias Arndt;Bahrain Victorious;87H 13' 49'';+ 05H 08' 07''
122;Søren Kragh Andersen;Alpecin-Deceuninck;87H 14' 20'';+ 05H 08' 38''
123;Mikkel Bjerg;Uae Team Emirates;87H 14' 44'';+ 05H 09' 02''
124;Laurent Pichon;Team Arkea - Samsic;87H 15' 46'';+ 05H 10' 04''
125;Biniam Girmay;Intermarché - Circus - Wanty;87H 16' 02'';+ 05H 10' 20''
126;Guillaume Boivin;Israel - Premier Tech;87H 16' 43'';+ 05H 11' 01''
127;Peter Sagan;Totalenergies;87H 19' 59'';+ 05H 14' 17''
128;Jenthe Biermans;Team Arkea - Samsic;87H 20' 06'';+ 05H 14' 24''
129;Silvan Dillier;Alpecin-Deceuninck;87H 20' 48'';+ 05H 15' 06''
130;Luke Durbridge;Team Jayco Alula;87H 22' 00'';+ 05H 16' 18''
131;Olivier Le Gac;Groupama - Fdj;87H 22' 51'';+ 05H 17' 09''
132;Luca Mozzato;Team Arkea - Samsic;87H 23' 04'';+ 05H 17' 22''
133;Michael Gogl;Alpecin-Deceuninck;87H 25' 26'';+ 05H 19' 44''
134;Alexander Kristoff;Uno-X Pro Cycling Team;87H 29' 33'';+ 05H 23' 51''
135;Gianni Moscon;Astana Qazaqstan Team;87H 29' 41'';+ 05H 23' 59''
136;Jasper De Buyst;Lotto Dstny;87H 32' 46'';+ 05H 27' 04''
137;Dylan Groenewegen;Team Jayco Alula;87H 33' 03'';+ 05H 27' 21''
138;Nils Eekhoff;Team Dsm - Firmenich;87H 39' 00'';+ 05H 33' 18''
139;Jordi Meeus;Bora - Hansgrohe;87H 39' 33'';+ 05H 33' 51''
140;Søren Wærenskjold;Uno-X Pro Cycling Team;87H 39' 34'';+ 05H 33' 52''
141;Elmar Reinders;Team Jayco Alula;87H 40' 59'';+ 05H 35' 17''
142;Axel Zingle;Cofidis;87H 45' 05'';+ 05H 39' 23''
143;Adrien Petit;Intermarché - Circus - Wanty;87H 47' 38'';+ 05H 41' 56''
144;Sam Welsford;Team Dsm - Firmenich;87H 48' 02'';+ 05H 42' 20''
145;John Degenkolb;Team Dsm - Firmenich;87H 49' 51'';+ 05H 44' 09''
146;Alexander Edmondson;Team Dsm - Firmenich;87H 50' 21'';+ 05H 44' 39''
147;Frederik Frison;Lotto Dstny;88H 01' 02'';+ 05H 55' 20''
148;Yevgeniy Fedorov;Astana Qazaqstan Team;88H 02' 19'';+ 05H 56' 37''
149;Cees Bol;Astana Qazaqstan Team;88H 03' 26'';+ 05H 57' 44''
150;Michael Mørkøv;Soudal Quick-Step;88H 12' 53'';+ 06H 07' 11''
